ssn,fname,lname,age,gender,nurse_id,rec_id
100000108,Lynn,Jones,39,M,48,200
100000109,Nathan,Sexton,33,M,258,247
100000110,Samantha,Johnston,62,M,177,220
100000111,Kimberly,White,39,M,130,197
100000112,Glenn,Ortega,79,F,54,284
100000113,Colin,Owens,19,F,103,148
100000114,Kevin,Stokes,46,F,129,88
100000115,Amber,Freeman,79,M,113,265
100000116,Evelyn,Carter,67,F,153,137
100000117,Sara,Swanson,20,F,160,53
100000118,Rebecca,Jackson,70,F,68,89
100000119,Miranda,Woods,64,F,157,251
100000120,Louis,Foster,26,F,93,253
100000121,Jasmine,Dixon,57,F,145,276
100000122,Donald,Price,20,F,22,228
100000123,Becky,Durham,39,M,121,215
100000124,Abigail,Fuentes,46,F,233,279
100000125,John,Arias,22,M,123,223
100000126,Tamara,Johnson,67,F,151,72
100000127,Andrew,Jones,21,M,72,222
100000128,Michael,Silva,80,F,34,59
100000129,Ariana,Jones,49,F,207,193
100000130,Patricia,Ortiz,21,M,92,180
100000131,Christopher,Brown,60,F,144,177
100000132,Michaela,Hinton,48,F,224,282
100000133,Philip,Ortiz,20,F,290,212
100000134,Christopher,Alexander,27,F,245,62
100000135,Margaret,Perez,18,F,37,51
100000136,Robert,Morrow,75,F,120,137
100000137,Lauren,Dean,38,M,66,249
100000138,Pamela,Hicks,13,M,198,116
100000139,Gregory,Alvarez,77,F,163,299
100000140,Robin,Brown,80,F,41,296
100000141,Diana,Grant,42,F,190,149
100000142,Brianna,Miller,49,M,176,202
100000143,Morgan,Phillips,41,M,231,150
100000144,Amanda,Gutierrez,57,F,174,78
100000145,Dawn,Stevenson,18,M,108,126
100000146,Mark,Cabrera,31,F,67,238
100000147,Keith,Conley,19,M,106,57
100000148,Dylan,Dixon,18,F,102,213
100000149,Cindy,Sims,79,F,68,89
100000150,Shannon,Bowen,63,F,118,153
100000151,Shane,Davis,48,F,213,206
100000152,Megan,Montes,45,F,208,93
100000153,Christine,Aguilar,29,M,199,172
100000154,Johnny,Gregory,26,F,210,54
100000155,Ann,Dougherty,12,F,40,165
100000156,Derrick,Singh,65,M,229,291
100000157,Kyle,Young,64,F,222,113
100000158,Mary,Coleman,45,F,167,64
100000159,Raymond,King,71,F,200,201
100000160,Lisa,Daniel,79,M,107,271
100000161,Stephen,Mckenzie,39,F,180,105
100000162,Trevor,Miller,38,F,141,207
100000163,Todd,Murray,53,M,242,97
100000164,Ariel,Garcia,21,M,30,76
100000165,Bruce,Higgins,63,F,49,110
100000166,David,Jensen,32,F,278,164
100000167,Diane,Oconnor,34,F,151,72
100000168,Kaitlyn,Stokes,27,M,166,103
100000169,Brittany,Foster,56,F,101,205
100000170,Benjamin,Bryant,76,F,213,206
100000171,Jodi,Brown,69,F,46,204
100000172,Holly,Johnson,46,F,281,192
100000173,Kathleen,Edwards,40,F,86,162
100000174,Kelly,Zhang,27,F,114,138
100000175,Lisa,Boyer,24,M,76,121
100000176,Emily,Hebert,29,F,54,284
100000177,Kari,Duncan,66,M,127,248
100000178,James,Taylor,17,F,273,288
100000179,Julia,White,39,F,194,292
100000180,Robert,Craig,59,F,290,91
100000181,Michael,Haynes,46,F,278,164
100000182,William,Miller,16,F,232,80
100000183,Jack,Hill,80,M,181,221
100000184,Michelle,Armstrong,71,F,285,50
100000185,Alan,Owen,53,F,96,246
100000186,Bradley,Cortez,36,M,28,195
100000187,Heather,Gilmore,30,F,281,192
100000188,Joseph,Boyer,58,M,72,58
100000189,Bryan,Smith,14,M,66,233
100000190,Thomas,Holder,62,F,257,160
100000191,Shelly,Barker,25,F,77,176
100000192,Kevin,Gardner,40,M,232,80
100000193,Lauren,Harris,50,F,11,42
100000194,Andrew,Davis,45,F,122,107
100000195,Anita,Mckinney,57,F,194,292
100000196,Andrea,Patterson,13,F,262,170
100000197,Michaela,Foster,33,F,273,288
100000198,Mark,Meyers,61,M,154,96
100000199,Scott,Hodge,74,F,273,288
100000200,Nicholas,Wright,49,F,289,264
100000201,Troy,Martinez,23,F,184,222
100000202,Melissa,Martinez,74,F,205,237
100000203,Angela,Krause,67,F,293,234
100000204,David,Hutchinson,73,M,83,43
100000205,Tara,Goodwin,23,F,129,88
100000206,Sarah,Romero,18,F,149,174
100000207,Tammy,Davis,59,F,22,239
100000208,Connie,Sullivan,34,F,61,173
100000209,Amy,Deleon,80,M,273,288
100000210,Jordan,Edwards,45,M,102,213
100000211,Robert,Thompson,24,F,271,168
100000212,Mark,Swanson,53,F,138,241
100000213,Anthony,Caldwell,16,F,145,276
100000214,Anthony,Ibarra,46,F,27,270
100000215,John,Sanford,57,M,247,151
100000216,Amanda,Cunningham,42,M,51,163
100000217,Amanda,Snyder,69,F,209,108
100000218,Matthew,Cabrera,58,F,286,158
100000219,Jeanette,Brown,21,F,223,131
100000220,Danielle,Taylor,13,M,110,100
100000221,Richard,Miller,28,F,96,246
100000222,Debbie,Jackson,33,F,276,129
100000223,Eric,Davila,17,F,89,92
100000224,William,Scott,64,M,204,141
100000225,Brandon,Moody,47,F,138,241
100000226,William,Williams,42,F,161,188
100000227,Renee,Hancock,47,M,175,115
100000228,John,Moore,43,F,203,266
100000229,Diana,Johnson,45,F,56,219
100000230,Michele,Wilson,76,F,259,85
100000231,Jason,Delgado,62,M,273,288
100000232,Ashlee,Martinez,62,F,114,138
100000233,Eric,Gray,52,F,274,262
100000234,Michael,Miller,31,F,253,278
100000235,Johnny,Schultz,41,F,276,129
100000236,Mary,Byrd,61,M,276,129
100000237,Jason,Kim,40,M,101,205
100000238,Gabrielle,Henry,19,F,69,199
100000239,Rebecca,Wang,37,M,154,95
100000240,Michael,Richardson,45,M,267,135
100000241,James,Nichols,80,F,292,273
100000242,Lindsey,Garcia,43,F,289,264
100000243,Daniel,Becker,30,M,201,166
100000244,Eric,Patterson,36,F,63,226
100000245,Michael,Watts,72,M,48,200
100000246,Roger,Phillips,61,F,29,179
100000247,Luis,Mcguire,37,M,251,133
100000248,Cindy,Rice,62,F,29,179
100000249,Nicole,White,38,F,272,275
100000250,Gregory,Williams,49,F,281,192
100000251,Morgan,Armstrong,68,F,90,63
100000252,Robert,Stewart,25,M,276,129
100000253,Connor,Little,30,M,79,263
100000254,Sarah,Tapia,18,F,41,296
100000255,James,Cross,31,M,169,186
100000256,Steven,Ramirez,69,F,175,115
100000257,Monica,Howell,50,F,283,138
100000258,John,Powell,29,M,263,261
100000259,Christopher,Kirk,40,F,165,119
100000260,Lauren,Holt,14,M,285,50
100000261,Phillip,Sellers,47,M,11,42
100000262,Timothy,Mason,22,F,81,212
100000263,Matthew,Prince,49,M,288,99
100000264,Courtney,Clark,41,F,172,208
100000265,Sean,Davis,21,M,117,136
100000266,Elizabeth,Burke,43,M,256,157
100000267,Stephanie,Pennington,53,F,138,241
100000268,Stephanie,Miranda,50,F,151,72
100000269,Margaret,Fletcher,66,F,116,96
100000270,Andrea,Mendez,76,F,208,74
100000271,Rebecca,Hall,22,M,76,121
100000272,Tracie,Griffith,28,M,157,251
100000273,Jessica,Davis,50,M,59,120
100000274,Luis,Ramos,43,M,287,103
100000275,Tracey,Payne,21,F,36,66
100000276,Brooke,Miller,50,F,64,216
100000277,James,Newton,76,F,122,107
100000278,Travis,King,65,F,98,280
100000279,Daniel,Campbell,66,F,29,179
100000280,Pamela,Russell,31,M,205,237
100000281,David,Barrera,74,M,173,125
100000282,Melissa,Robertson,71,M,177,220
100000283,Rebecca,Bowman,55,F,122,107
100000284,Melissa,Scott,60,F,53,224
100000285,Darren,Mcfarland,42,F,253,278
100000286,Jeff,Holmes,68,F,162,84
100000287,Caitlin,Evans,69,F,235,79
100000288,Angelica,Gonzalez,50,F,266,73
100000289,Corey,Mitchell,12,F,15,65
100000290,Robert,Ford,17,M,219,269
100000291,Robert,Castro,58,F,272,275
100000292,Denise,Swanson,29,M,185,49
100000293,Jonathan,Hall,69,M,83,43
100000294,Danielle,Mcbride,42,F,29,179
100000295,Brandi,Wright,37,M,90,63
100000296,Anita,Morales,13,F,266,73
100000297,Alyssa,Johnson,40,M,161,188
100000298,Rachel,Campbell,30,M,178,47
100000299,Sabrina,Murphy,75,F,110,100
100000300,Anna,Sutton,73,M,68,89
100000301,Ann,Brewer,50,F,192,258
100000302,Scott,Franklin,29,F,196,155
100000303,Mike,Morris,46,M,178,47
100000304,Dave,Love,60,F,166,205
100000305,Emily,Perez,40,F,265,45
100000306,John,Freeman,68,M,186,128
100000307,John,Fleming,20,F,203,266
100000308,Jonathan,Taylor,29,F,170,41
100000309,Tyler,Young,28,F,103,148
100000310,Kathryn,Sullivan,70,M,50,257
100000311,Xavier,Woods,49,F,108,126
100000312,Joan,Edwards,57,F,178,47
100000313,Jennifer,Hensley,60,F,60,48
100000314,Stanley,Brown,30,F,279,156
100000315,Crystal,Rivera,52,F,298,190
100000316,Richard,Roy,56,M,146,46
100000317,Betty,Dorsey,32,F,285,50
100000318,Dawn,Phillips,63,F,222,113
100000319,Monica,Wagner,30,F,24,286
100000320,Michele,Macias,12,M,166,130
100000321,Carmen,Martin,63,F,158,81
100000322,Zachary,Smith,63,F,127,248
100000323,Rebecca,Levy,23,F,243,146
100000324,Amanda,Ward,15,M,23,139
100000325,Justin,Harris,64,F,47,112
100000326,Angela,Moore,33,F,186,71
100000327,Jorge,Cruz,29,F,173,125
100000328,Anthony,Williams,58,M,222,113
100000329,Barbara,West,66,M,166,151
100000330,Belinda,Rodriguez,71,F,203,266
100000331,Anne,Reynolds,12,F,273,288
100000332,Cassie,Neal,16,F,289,264
100000333,Jennifer,Lewis,22,M,151,72
100000334,Anna,Mendoza,19,F,162,84
100000335,Samantha,Lewis,70,M,237,283
100000336,Kelly,Duran,52,F,139,185
100000337,Brian,Thornton,35,M,142,152
100000338,Patrick,Parker,50,M,224,282
100000339,Jeffrey,Kemp,14,F,108,126
100000340,Anthony,Randall,31,F,262,170
100000341,Vanessa,Hunter,46,M,126,106
100000342,Ashley,Newman,39,F,195,102
100000343,Elizabeth,Henry,12,M,22,169
100000344,Tyler,Smith,55,F,100,223
100000345,Anthony,Figueroa,61,M,52,255
100000346,Judith,Steele,59,F,32,130
100000347,Alex,Sanford,26,M,239,225
100000348,Garrett,Robertson,19,F,49,110
100000349,Garrett,Jimenez,62,F,293,234
100000350,Rebecca,Sanders,50,F,81,212
100000351,Mark,Weaver,47,M,68,89
100000352,Ricky,Lopez,77,F,87,249
100000353,Benjamin,Anderson,73,F,175,115
100000354,Zachary,Hale,56,F,113,265
100000355,Zachary,Delgado,75,M,149,76
100000356,Jeff,Strong,50,F,263,261
100000357,John,Archer,30,M,135,86
100000358,Justin,Dominguez,35,F,35,198
100000359,Joseph,Simmons,35,F,297,109
100000360,Dorothy,Patterson,16,F,296,122
100000361,Leah,Walker,79,M,109,145
100000362,Donna,Martin,70,F,189,210
100000363,Janice,Duran,78,M,48,200
100000364,Sandra,Jennings,55,M,173,125
100000365,Paula,Shepard,20,F,131,267
100000366,Michael,Johnson,55,M,231,150
100000367,Michael,Martin,43,M,261,274
100000368,Alison,Moore,55,F,100,223
100000369,Joseph,Parker,24,M,69,199
100000370,Teresa,Rodriguez,29,F,31,75
100000371,Dylan,Lawson,47,F,265,45
100000372,Paul,Archer,20,M,122,107
100000373,Robert,Abbott,20,F,179,191
100000374,Peter,Williams,50,M,211,254
100000375,Corey,Snow,12,F,112,289
100000376,Rhonda,Robbins,25,M,130,197
100000377,Stephanie,Perry,63,F,136,190
100000378,Nancy,Hayes,68,M,198,116
100000379,Katelyn,Jennings,56,F,240,69
100000380,Charles,Hamilton,40,F,101,205
100000381,Robert,Sandoval,18,F,39,230
100000382,Erin,Morris,27,M,288,99
100000383,Cesar,Dunn,34,F,54,284
100000384,Danielle,Hunter,65,F,35,198
100000385,John,Jones,20,F,72,150
100000386,Ronnie,Johnson,43,F,74,184
100000387,Amber,Edwards,26,F,21,211
100000388,Chelsea,Young,51,F,131,267
100000389,Robert,Ford,59,M,77,176
100000390,Sierra,Stuart,36,M,100,223
100000391,Laura,Frye,67,M,99,147
100000392,Jason,Jones,61,F,95,128
100000393,Wendy,Hensley,57,F,172,208
100000394,Erin,Bryant,67,F,197,167
100000395,Renee,Hernandez,66,F,153,233
100000396,Lori,Campbell,73,F,285,50
100000397,Gary,Gutierrez,35,F,257,160
100000398,Matthew,Green,78,F,103,148
100000399,Elizabeth,Maynard,75,M,241,209
100000400,Janice,Barnes,72,F,183,245
100000401,Regina,Cummings,54,F,209,108
100000402,Brandon,Ward,31,M,162,84
100000403,Samantha,Jones,70,M,67,238
100000404,Jennifer,Baker,20,M,53,224
100000405,Christian,Cuevas,49,M,57,127
100000406,Caroline,Rodriguez,78,M,66,122
100000407,John,Barton,48,F,91,252
100000408,Ricky,Grant,54,F,74,184
100000409,Jennifer,King,78,M,82,293
100000410,Madison,Hart,56,F,215,231
100000411,Donald,Navarro,54,F,195,102
100000412,Jennifer,Gray,64,F,186,116
100000413,Anthony,Bailey,26,M,204,141
100000414,Betty,Thomas,35,M,266,73
100000415,Michele,Barnes,55,F,272,275
100000416,Kristen,Thornton,72,F,64,216
100000417,Margaret,Henry,17,F,124,295
100000418,Anna,Lane,49,M,153,170
100000419,Thomas,Henry,22,F,70,152
100000420,Michael,Robertson,33,M,188,101
100000421,Kristen,Lee,33,F,87,249
100000422,Lauren,Garcia,41,F,157,251
100000423,Alex,Wang,53,M,193,174
100000424,Paula,Zimmerman,56,F,33,79
100000425,Nancy,Rodriguez,28,M,129,88
100000426,Diane,Reid,22,M,129,88
100000427,Krystal,Mack,19,F,72,102
100000428,Barry,Clements,49,F,57,127
100000429,William,Edwards,65,M,140,74
100000430,David,Smith,54,F,80,60
100000431,William,Ramirez,75,F,163,299
100000432,Joshua,Jordan,55,F,29,179
100000433,Samuel,Davis,27,M,175,115
100000434,Amy,Watson,73,F,96,246
100000435,Latoya,Stuart,71,F,229,291
100000436,Christopher,Fitzgerald,12,M,176,202
100000437,Francisco,Anderson,71,M,58,268
100000438,Sheila,Mckee,67,F,240,69
100000439,Sandra,Kelley,56,F,285,50
100000440,Ronald,Lawson,42,M,51,163
100000441,Lisa,Chang,56,F,110,100
100000442,Bryan,Randolph,27,M,293,234
100000443,Jerry,Banks,17,F,148,242
100000444,John,Reynolds,33,F,43,77
100000445,Steven,Le,35,F,163,299
100000446,Joshua,Phillips,54,F,79,263
100000447,Brianna,Coffey,20,M,120,137
100000448,Jeffrey,Castaneda,27,M,65,82
100000449,Tamara,Mitchell,35,F,287,103
100000450,Kelli,Miller,69,M,13,260
100000451,Phillip,Savage,59,F,37,51
100000452,Wendy,Carter,22,F,42,287
100000453,Teresa,Newton,52,M,39,230
100000454,Dawn,Jones,31,M,102,213
100000455,Joseph,King,46,M,209,108
100000456,Jamie,Mcfarland,45,F,257,160
100000457,Sarah,Smith,68,F,146,46
100000458,Cody,Rojas,65,F,180,105
100000459,John,Horne,15,F,18,70
100000460,Randy,Cole,65,M,236,236
100000461,Christopher,Diaz,64,F,20,91
100000462,Barbara,Bryan,69,M,139,185
100000463,Robert,Garrett,15,F,156,41
100000464,Tamara,Clay,35,M,190,149
100000465,Jermaine,Barnes,20,M,209,108
100000466,Isaac,Smith,75,F,56,219
100000467,Michelle,Vazquez,26,F,107,271
100000468,Jillian,Lopez,54,M,125,250
100000469,Alec,Johnston,48,F,215,231
100000470,John,Parsons,41,M,30,76
100000471,Christopher,Jenkins,50,F,135,86
100000472,Brittany,Cohen,47,F,41,296
100000473,Rachel,Hooper,25,M,102,213
100000474,Katherine,Khan,64,F,116,96
100000475,Robert,Hicks,12,F,66,52
100000476,Sherry,Davis,43,F,148,242
100000477,Nicole,Woodward,64,M,194,292
100000478,Shannon,Anderson,78,M,273,288
100000479,James,Wang,51,F,83,43
100000480,Clinton,Reeves,28,M,33,79
100000481,Joseph,Poole,60,F,87,249
100000482,Julie,Lewis,37,M,61,173
100000483,Sarah,Adkins,80,F,290,194
100000484,Cynthia,Andrews,45,F,259,85
100000485,Courtney,Kelly,19,M,298,190
100000486,Amy,Cochran,69,F,248,297
100000487,Timothy,Morris,50,M,53,224
100000488,Kevin,Harris,47,F,210,54
100000489,Heidi,Nichols,40,F,18,70
100000490,Kristy,Valencia,67,F,54,284
100000491,Steven,Smith,23,F,219,269
100000492,Chad,Miranda,53,F,235,108
100000493,Amy,Jackson,74,F,287,103
100000494,Emily,Nicholson,67,F,114,138
100000495,Julie,Wilson,76,F,177,220
100000496,Ashley,Harper,56,F,115,178
100000497,Monica,Nguyen,53,M,143,154
100000498,John,Rowe,34,M,34,59
100000499,Martin,Richardson,78,F,187,277
100000500,Ashley,Bryant,68,F,243,146
100000501,Sean,Miller,18,F,189,210
100000502,Megan,Benson,43,M,207,193
100000503,Bridget,James,66,F,250,132
100000504,Christine,Boyer,78,F,75,169
100000505,Jeffrey,Mason,73,F,228,90
100000506,Rachel,Smith,22,F,194,292
100000507,Jordan,Holmes,13,M,77,176
100000508,Sara,Hunter,16,F,255,285
100000509,Nancy,Wade,55,F,163,299
100000510,Natasha,Howard,41,F,197,167
100000511,Daniel,Copeland,18,F,199,172
100000512,Rachael,Oneill,46,M,215,231
100000513,Ethan,Valenzuela,26,F,103,148
100000514,Daniel,Esparza,67,F,68,89
100000515,Hannah,Garner,60,M,157,251
100000516,Linda,Pitts,53,F,259,85
100000517,Gabrielle,Soto,28,F,12,71
100000518,Grace,Reynolds,14,F,27,270
100000519,Jessica,Reeves,55,M,87,249
100000520,Anna,Harris,30,F,146,46
100000521,Catherine,Richardson,60,M,146,46
100000522,Sandra,Neal,58,F,51,163
100000523,William,Reed,19,M,112,289
100000524,Zachary,Rush,18,F,248,297
100000525,Jessica,Tran,60,F,163,299
100000526,James,Moyer,21,F,175,115
100000527,Darin,Johnson,29,M,60,48
100000528,Amy,Wiggins,16,M,167,64
100000529,Shawn,Nicholson,26,F,257,160
100000530,Zachary,Richards,44,F,131,267
100000531,Paul,Cantu,65,M,75,169
100000532,Jennifer,Gray,27,F,33,79
100000533,Denise,Wilson,48,F,203,266
100000534,Lauren,Davis,78,M,272,275
100000535,Justin,Noble,46,F,244,161
100000536,Justin,Silva,14,M,46,204
100000537,Tammy,Hill,68,M,69,199
100000538,Crystal,Hale,64,M,36,66
100000539,Maurice,Gray,32,F,101,205
100000540,David,Williams,75,M,16,152
100000541,Benjamin,Phillips,38,M,50,257
100000542,Eric,Conley,23,M,216,178
100000543,Amanda,Johnson,28,F,266,73
100000544,Timothy,Blankenship,52,M,47,112
100000545,Michael,Brown,32,F,51,163
100000546,Brian,Flores,28,F,234,140
100000547,Mary,Blair,46,M,162,84
100000548,Jeffery,Williams,26,M,251,133
100000549,Jessica,Welch,42,M,190,149
100000550,Lawrence,Lucero,17,M,124,295
100000551,Bryan,Martinez,50,F,115,178
100000552,Christine,Brown,79,F,238,118
100000553,Brittany,White,56,F,39,230
100000554,April,Welch,23,M,116,96
100000555,Robert,Taylor,76,F,155,239
100000556,Shelly,Allen,62,F,121,215
100000557,Bryan,Powell,40,F,39,230
100000558,Anthony,Flores,24,M,34,59
100000559,Jeremiah,Green,43,F,43,126
100000560,Tyler,Dixon,64,F,33,79
100000561,Alicia,Wheeler,78,F,193,174
100000562,Amanda,Owens,70,M,123,237
100000563,Scott,Jones,12,M,259,85
100000564,Kyle,Atkins,71,M,20,91
100000565,Vanessa,Dawson,44,F,237,283
100000566,Keith,Patterson,52,M,293,234
100000567,Juan,Campos,23,M,185,49
100000568,Chad,Smith,49,M,167,64
100000569,Aaron,Hood,39,F,144,177
100000570,Kimberly,Davidson,74,F,140,74
100000571,Cindy,Miller,53,M,131,267
100000572,Daniel,Decker,69,F,101,205
100000573,Matthew,Hatfield,20,M,243,146
100000574,Paul,Larson,28,F,131,267
100000575,David,Booker,39,F,46,204
100000576,Erica,Brown,42,M,105,61
100000577,Thomas,Meyers,38,M,269,68
100000578,Kelli,Jones,61,F,46,204
100000579,Elizabeth,Ibarra,13,F,75,169
100000580,Blake,Pearson,31,F,159,198
100000581,Frederick,Lynn,23,M,163,299
100000582,Summer,Brown,67,M,171,298
100000583,Carrie,Bullock,30,M,89,92
100000584,Helen,Sims,79,F,290,233
100000585,Brittany,Burnett,48,M,102,213
100000586,Thomas,Bolton,76,F,254,56
100000587,Nicole,Thomas,54,F,264,229
100000588,Ernest,Blake,40,F,279,156
100000589,Zachary,White,37,F,11,42
100000590,Megan,Hall,70,F,58,268
100000591,Latoya,Johns,71,F,134,244
100000592,Stephanie,Morton,16,F,120,137
100000593,Paul,Taylor,23,M,51,163
100000594,Carol,Richardson,53,M,76,121
100000595,Vincent,Bullock,46,F,86,162
100000596,Robin,Campos,36,M,22,120
100000597,Emma,Arias,16,F,119,272
100000598,Andrea,Jones,21,F,47,112
100000599,Elizabeth,Glass,17,F,267,135
100000600,Michael,Vance,61,M,103,148
100000601,Andrea,Wright,80,F,245,62
100000602,Kenneth,Sanchez,73,M,114,138
100000603,Oscar,Dixon,31,F,208,76
100000604,Joseph,Diaz,58,F,267,135
100000605,Cheryl,Daniels,37,F,272,275
100000606,Elizabeth,Harris,20,M,13,260
100000607,Kim,Simmons,64,F,174,78
100000608,Heather,Evans,80,M,168,111
100000609,Kevin,Stewart,50,F,145,276
100000610,Kristen,Barry,56,M,290,186
100000611,Michael,Brown,37,F,149,164
100000612,Steven,Kennedy,47,F,185,49
100000613,Reginald,Gonzalez,40,M,256,157
100000614,Maria,King,15,F,18,70
100000615,Sarah,Carroll,40,M,19,181
100000616,Shawn,Garcia,62,M,112,289
100000617,Susan,Oneal,48,F,159,244
100000618,Yolanda,Wilson,16,F,122,107
100000619,Danielle,Young,60,M,186,113
100000620,James,Ritter,50,F,207,193
100000621,Paul,Scott,44,M,24,286
100000622,Robert,Jones,59,F,68,89
100000623,Melinda,Wilson,58,F,269,68
100000624,Jeremy,Hardin,16,F,77,176
100000625,Frank,Nelson,27,M,70,152
100000626,Michael,Kennedy,14,F,179,191
100000627,Susan,Morris,73,M,84,114
100000628,Cody,Silva,76,M,119,272
100000629,William,Taylor,20,M,78,175
100000630,Stephanie,Mayo,68,F,232,80
100000631,Lauren,Kim,65,M,87,249
100000632,Gina,Barry,42,M,107,271
100000633,Anthony,Bowman,49,M,34,59
100000634,Kim,Ray,12,F,208,209
100000635,Jessica,Kirby,68,F,27,270
100000636,David,Murphy,13,F,58,268
100000637,Lori,Haas,73,M,118,153
100000638,Julie,Turner,46,F,146,46
100000639,Charles,Wilson,58,F,160,53
100000640,Kenneth,Nixon,67,M,24,286
100000641,Samuel,George,70,M,182,256
100000642,Cynthia,Navarro,16,M,207,193
100000643,William,Morrison,47,F,231,150
100000644,Ryan,Gonzales,31,M,246,95
100000645,Troy,James,79,M,110,100
100000646,Rebecca,May,33,F,124,295
100000647,Travis,Garcia,57,M,26,228
100000648,Jennifer,Crawford,53,F,220,142
100000649,Cody,Haas,63,M,169,186
100000650,Kelly,Warren,59,F,21,211
100000651,George,Davis,21,M,116,96
100000652,Christopher,Carson,74,F,287,103
100000653,Eric,Baird,28,M,290,126
100000654,Willie,Mccoy,77,F,107,271
100000655,Daniel,Moody,72,M,138,241
100000656,Amanda,Green,14,F,197,167
100000657,Marcus,Johnson,30,M,299,77
100000658,Holly,Lewis,48,F,32,130
100000659,Craig,Chaney,32,M,194,292
100000660,Diana,Crawford,31,F,265,45
100000661,Rebecca,Smith,14,F,157,251
100000662,Tiffany,Keller,24,F,121,215
100000663,Jeffery,Beard,40,F,239,225
100000664,Linda,Williamson,68,F,33,79
100000665,David,Brown,74,F,100,223
100000666,Calvin,Figueroa,18,F,167,64
100000667,Douglas,Griffith,41,F,127,248
