ssn,reg_no
100000103,26
100000104,20
100000104,26
100000104,23
100000105,22
100000105,26
100000105,26
100000106,29
100000106,29
100000107,22
100000107,29
100000107,26
100000108,29
100000108,27
100000108,28
100000108,26
100000109,24
100000110,23
100000111,23
100000111,25
100000111,26
100000111,20
100000112,26
100000112,23
100000112,23
100000113,27
100000113,24
100000114,21
100000114,29
100000114,26
100000115,28
100000115,29
100000115,23
100000116,24
100000116,26
100000117,23
100000117,22
100000117,28
100000118,25
100000118,21
100000119,23
100000120,25
100000120,25
100000120,26
100000121,28
100000122,20
100000123,23
100000123,23
100000123,20
100000123,29
100000124,27
100000125,28
100000125,20
100000126,29
100000126,29
100000126,20
100000127,21
100000128,29
100000128,23
100000129,22
100000129,20
100000129,20
100000129,26
100000130,20
100000130,26
100000130,28
100000131,26
100000132,27
100000132,23
100000132,29
100000133,22
100000133,25
100000133,23
100000134,28
100000134,23
100000134,20
100000134,24
100000135,26
100000135,26
100000136,29
100000136,25
100000136,27
100000136,25
100000137,26
100000137,23
100000137,25
100000138,28
100000138,21
100000138,26
100000139,28
100000139,29
100000139,23
100000139,25
100000140,23
100000141,27
100000141,29
100000141,29
100000142,22
100000142,20
100000143,28
100000143,22
100000143,20
100000144,20
100000144,22
100000145,26
100000146,24
100000146,29
100000146,28
100000147,20
100000147,24
100000147,23
100000147,25
100000148,20
100000148,24
100000148,26
100000148,26
100000149,21
100000150,28
100000150,29
100000151,26
100000151,26
100000151,22
100000151,27
100000152,29
100000152,21
100000152,20
100000152,20
100000153,23
100000153,20
100000154,29
100000154,21
100000154,28
100000154,23
100000155,22
100000155,27
100000156,29
100000156,27
100000156,20
100000157,22
100000157,25
100000158,22
100000158,26
100000158,27
100000159,29
100000159,29
100000159,26
100000159,23
100000160,29
100000161,26
100000161,27
100000161,24
100000161,20
100000162,28
100000163,22
100000163,23
100000163,29
100000163,24
100000164,28
100000164,20
100000165,27
100000165,28
100000165,20
100000166,22
100000166,22
100000167,22
100000167,21
100000167,23
100000168,25
100000169,20
100000170,21
100000171,28
100000171,22
100000172,27
100000173,27
100000173,25
100000174,20
100000175,27
100000175,22
100000175,25
100000176,23
100000176,26
100000177,25
100000177,28
100000178,25
100000179,21
100000179,25
100000179,23
100000180,20
100000180,24
100000180,28
100000180,27
100000181,21
100000181,26
100000182,25
100000182,24
100000182,25
100000182,27
100000183,28
100000183,21
100000183,21
100000183,23
100000184,22
100000184,26
100000184,23
100000185,21
100000185,25
100000186,29
100000186,20
100000186,28
100000186,22
100000187,23
100000187,25
100000188,24
100000189,26
100000189,20
100000190,26
100000191,29
100000191,22
100000191,22
100000192,26
100000193,20
100000193,21
100000193,25
100000193,20
100000194,28
100000194,21
100000194,22
100000195,27
100000195,26
100000195,29
100000196,20
100000196,23
100000197,24
100000197,21
100000198,22
100000199,23
100000199,22
100000199,29
100000200,25
100000200,23
100000201,21
100000202,22
100000202,25
100000202,26
100000202,28
100000203,29
100000204,20
100000204,25
100000205,27
100000205,25
100000205,27
100000206,25
100000207,21
100000207,26
100000207,26
100000208,23
100000209,22
100000209,22
100000209,27
100000209,24
100000210,25
100000210,26
100000210,25
100000211,28
100000211,23
100000212,20
100000212,22
100000212,23
100000212,20
100000213,28
100000213,21
100000213,28
100000214,21
100000215,29
100000215,22
100000216,20
100000217,25
100000217,22
100000217,28
100000218,22
100000219,27
100000219,20
100000220,28
100000221,20
100000221,26
100000221,24
100000221,26
100000222,28
100000222,22
100000223,28
100000223,24
100000223,22
100000224,28
100000225,22
100000225,28
100000225,22
100000226,20
100000226,22
100000226,22
100000226,24
100000227,29
100000227,21
100000227,27
100000227,27
100000228,29
100000228,22
100000228,27
100000229,28
100000229,29
100000230,24
100000230,21
100000231,29
100000232,20
100000232,25
100000232,27
100000233,20
100000233,24
100000234,24
100000234,26
100000235,29
100000235,26
100000235,21
100000235,26
100000236,22
100000236,28
100000236,24
100000237,27
100000237,25
100000238,23
100000238,29
100000238,20
100000238,26
100000239,22
100000239,22
100000239,25
100000239,20
100000240,27
100000240,20
100000240,29
100000240,21
100000241,23
100000241,29
100000242,23
100000242,23
100000242,22
100000243,25
100000243,22
100000244,20
100000244,22
100000245,27
100000245,20
100000245,27
100000245,28
100000246,23
100000246,28
100000246,22
100000247,22
100000247,24
100000247,21
100000247,21
100000248,24
100000248,26
100000248,20
100000248,22
100000249,27
100000249,22
100000250,24
100000250,23
100000251,24
100000251,29
100000251,24
100000252,23
100000252,21
100000252,20
100000253,27
100000253,21
100000253,27
100000254,22
100000254,29
100000255,29
100000255,26
100000256,26
100000256,23
100000257,25
100000257,22
100000257,25
100000258,29
100000258,27
100000259,20
100000259,20
100000260,23
100000260,20
100000260,27
100000261,22
100000261,29
100000261,26
100000262,25
100000263,24
100000263,29
100000263,26
100000263,26
100000264,21
100000264,20
100000265,26
100000265,20
100000266,21
100000266,27
100000266,20
100000267,20
100000267,29
100000267,27
100000267,29
100000268,26
100000268,21
100000268,22
100000268,22
100000269,23
100000269,22
100000269,21
100000269,23
100000270,23
100000270,26
100000270,23
100000270,24
100000271,24
100000271,29
100000271,29
100000272,28
100000272,22
100000272,25
100000272,22
100000273,20
100000273,29
100000273,28
100000274,29
100000274,24
100000275,20
100000275,29
100000275,21
100000276,22
100000277,28
100000277,28
100000277,23
100000277,24
100000278,20
100000279,20
100000279,22
100000279,21
100000279,25
100000280,27
100000280,21
100000281,29
100000281,29
100000281,20
100000281,28
100000282,28
100000282,21
100000283,20
100000284,21
100000284,20
100000285,24
100000286,23
100000286,28
100000287,28
100000287,20
100000288,20
100000288,25
100000288,23
100000289,26
100000290,25
100000291,23
100000291,21
100000291,29
100000292,21
100000292,27
100000292,22
100000292,27
100000293,21
100000293,21
100000293,27
100000293,27
100000294,23
100000294,20
100000294,24
100000295,21
100000296,24
100000296,20
100000296,29
100000297,20
100000297,24
100000297,22
100000297,26
100000298,27
100000298,27
100000298,27
100000298,22
100000299,25
100000299,20
100000300,25
100000300,28
100000300,26
100000300,21
100000301,25
100000302,24
100000303,26
100000304,29
100000305,23
100000305,24
100000305,23
100000306,28
100000306,26
100000307,25
100000307,26
100000308,29
100000308,21
100000308,26
100000308,28
100000309,25
100000310,27
100000310,24
100000310,21
100000310,29
100000311,22
100000311,22
100000311,20
100000311,25
100000312,29
100000313,23
100000313,22
100000314,28
100000314,27
100000314,27
100000315,29
100000315,27
100000315,28
100000315,23
100000316,21
100000317,23
100000317,26
100000318,26
100000318,24
100000318,20
100000319,28
100000319,21
100000319,28
100000319,28
100000320,22
100000320,24
100000320,23
100000320,28
100000321,25
100000322,27
100000322,21
100000322,26
100000322,22
100000323,26
100000323,23
100000323,29
100000324,22
100000324,23
100000324,22
100000324,28
100000325,29
100000325,29
100000325,25
100000326,23
100000326,24
100000326,23
100000327,24
100000327,24
100000328,27
100000329,27
100000329,22
100000329,25
100000330,24
100000330,21
100000331,26
100000331,20
100000331,27
100000331,20
100000332,25
100000332,22
100000332,24
100000332,20
100000333,28
100000333,21
100000333,26
100000333,28
100000334,27
100000335,21
100000336,27
100000336,21
100000337,28
100000337,24
100000337,22
100000338,28
100000338,23
100000339,28
100000339,27
100000340,24
100000340,20
100000341,23
100000341,26
100000341,25
100000342,23
100000343,20
100000343,22
100000343,29
100000343,26
100000344,20
100000344,20
100000344,22
100000345,24
100000346,20
100000346,23
100000347,22
100000347,21
100000348,26
100000348,28
100000349,25
100000349,29
100000349,23
100000349,24
100000350,24
100000350,20
100000351,28
100000352,27
100000353,21
100000353,23
100000353,27
100000354,21
100000354,29
100000354,27
100000354,23
100000355,26
100000355,20
100000355,26
100000355,20
100000356,22
100000356,22
100000356,22
100000357,22
100000357,26
100000357,25
100000358,25
100000359,20
100000359,24
100000359,26
100000359,27
100000360,23
100000361,26
100000361,24
100000361,23
100000361,21
100000362,26
100000362,23
100000363,29
100000363,27
100000363,25
100000364,22
100000364,25
100000364,26
100000365,28
100000366,20
100000366,28
100000367,27
100000367,29
100000368,24
100000369,26
100000369,27
100000370,20
100000370,25
100000371,28
100000371,23
100000371,29
100000372,24
100000372,25
100000373,23
100000373,21
100000373,24
100000374,21
100000375,25
100000375,29
100000376,25
100000376,29
100000377,28
100000377,25
100000377,25
100000377,24
100000378,23
100000378,22
100000379,23
100000379,24
100000379,20
100000380,28
100000380,21
100000380,23
100000380,20
100000381,26
100000381,27
100000381,21
100000381,28
100000382,25
100000382,25
100000382,20
100000383,20
100000383,25
100000384,22
100000384,23
100000385,28
100000385,20
100000385,26
100000386,22
100000386,23
100000387,23
100000387,24
100000388,21
100000388,20
100000389,28
100000389,25
100000389,23
100000390,23
100000391,21
100000391,28
100000391,21
100000391,24
100000392,22
100000392,29
100000392,20
100000393,20
100000393,28
100000393,20
100000394,29
100000394,25
100000394,20
100000394,24
100000395,24
100000395,21
100000395,24
100000396,28
100000396,24
100000397,26
100000397,28
100000397,29
100000397,21
100000398,21
100000398,23
100000399,24
100000399,22
100000399,28
100000400,21
100000401,21
100000401,28
100000401,29
100000401,22
100000402,27
100000402,29
100000402,25
100000402,21
100000403,26
100000403,25
100000403,27
100000403,26
100000404,27
100000404,25
100000404,24
100000404,21
100000405,27
100000405,27
100000405,24
100000406,22
100000406,25
100000406,20
100000406,26
100000407,25
100000407,26
100000408,26
100000408,22
100000408,21
100000408,23
100000409,20
100000409,21
100000409,24
100000409,23
100000410,28
100000410,21
100000410,24
100000411,21
100000412,26
100000412,25
100000413,21
100000414,21
100000414,22
100000414,29
100000414,24
100000415,25
100000415,21
100000415,22
100000416,21
100000417,21
100000417,20
100000417,28
100000417,29
100000418,28
100000419,25
100000419,29
100000419,27
100000419,25
100000420,20
100000420,29
100000420,20
100000420,20
100000421,21
100000421,27
100000422,25
100000422,29
100000422,28
100000423,28
100000423,23
100000423,26
100000423,20
100000424,23
100000424,25
100000424,20
100000425,28
100000426,21
100000426,25
100000426,29
100000426,24
100000427,26
100000428,23
100000428,20
100000428,22
100000428,29
100000429,26
100000429,23
100000429,23
100000429,27
100000430,21
100000430,23
100000431,20
100000431,23
100000432,22
100000432,28
100000432,29
100000432,28
100000433,27
100000433,22
100000434,21
100000434,29
100000435,26
100000435,21
100000436,24
100000436,29
100000436,23
100000436,27
100000437,24
100000438,24
100000438,25
100000438,20
100000439,20
100000439,25
100000439,20
100000439,20
100000440,20
100000441,20
100000441,27
100000441,27
100000441,26
100000442,22
100000442,27
100000442,22
100000442,27
100000443,24
100000444,24
100000444,20
100000444,23
100000444,29
100000445,21
100000445,27
100000445,22
100000445,25
100000446,29
100000446,22
100000446,28
100000446,24
100000447,25
100000447,27
100000447,20
100000447,28
100000448,26
100000449,20
100000449,22
100000449,21
100000450,26
100000451,24
100000451,25
100000452,21
100000452,26
100000453,22
100000454,20
100000455,20
100000455,22
100000455,28
100000455,27
100000456,20
100000457,20
100000457,23
100000458,27
100000458,21
100000458,21
100000458,20
100000459,26
100000460,22
100000460,28
100000460,29
100000461,20
100000461,24
100000462,27
100000462,29
100000463,26
100000463,20
100000464,24
100000465,25
100000466,22
100000466,28
100000466,27
100000467,27
100000468,24
100000468,25
100000468,21
100000469,25
100000469,24
100000469,23
100000470,20
100000471,24
100000471,22
100000471,28
100000472,21
100000472,22
100000472,24
100000472,21
100000473,23
100000473,29
100000474,27
100000474,20
100000474,29
100000475,29
100000476,20
100000476,22
100000477,22
100000477,24
100000477,25
100000477,25
100000478,20
100000479,23
100000480,23
100000480,22
100000481,22
100000482,28
100000482,21
100000482,26
100000482,21
100000483,24
100000483,27
100000483,22
100000483,21
100000484,26
100000485,29
100000485,22
100000485,26
100000486,22
100000486,20
100000486,26
100000487,29
100000488,23
100000489,23
100000489,20
100000489,23
100000489,28
100000490,21
100000490,29
100000491,22
100000491,28
100000491,23
100000491,22
100000492,24
100000493,26
100000493,26
100000493,27
100000493,23
100000494,26
100000494,29
100000495,27
100000495,22
100000496,24
100000496,29
100000496,23
100000497,25
100000497,27
100000497,29
100000498,28
100000498,23
100000498,24
100000498,27
100000499,25
100000500,25
100000501,25
100000501,23
100000501,23
100000502,27
100000502,24
100000502,24
100000502,26
100000503,26
100000503,21
100000504,24
100000504,27
100000504,20
100000504,21
100000505,23
100000506,21
100000506,29
100000506,22
100000506,23
100000507,26
100000507,26
100000508,20
100000508,22
100000508,23
100000509,25
100000509,23
100000509,26
100000510,20
100000511,24
100000512,26
100000512,28
100000512,25
100000512,24
100000513,20
100000513,23
100000513,21
100000514,26
100000514,28
100000514,22
100000515,25
100000516,25
100000516,24
100000516,26
100000517,21
100000517,29
100000517,24
100000518,21
100000518,28
100000518,22
100000519,28
100000519,25
100000520,28
100000520,26
100000520,22
100000520,24
100000521,28
100000521,26
100000521,22
100000522,22
100000523,21
100000523,23
100000524,27
100000524,29
100000524,26
100000524,25
100000525,29
100000526,22
100000527,27
100000527,21
100000528,22
100000529,29
100000530,27
100000530,20
100000530,25
100000530,20
100000531,20
100000531,22
100000532,23
100000533,23
100000533,21
100000534,27
100000534,24
100000535,20
100000535,24
100000535,26
100000535,23
100000536,29
100000537,21
100000538,27
100000538,28
100000539,26
100000539,22
100000539,29
100000540,29
100000541,25
100000542,20
100000542,27
100000542,28
100000542,24
100000543,29
100000544,29
100000544,26
100000544,27
100000544,26
100000545,23
100000545,29
100000545,28
100000545,20
100000546,21
100000547,26
100000547,24
100000547,20
100000548,23
100000548,24
100000549,28
100000549,22
100000550,27
100000550,29
100000550,25
100000550,29
100000551,26
100000551,21
100000551,25
100000552,29
100000552,22
100000552,21
100000552,27
100000553,28
100000553,23
100000554,24
100000554,21
100000554,28
100000554,29
100000555,20
100000555,24
100000555,24
100000555,27
100000556,25
100000557,27
100000557,21
100000558,26
100000558,29
100000558,29
100000558,27
100000559,26
100000559,23
100000559,21
100000560,26
100000561,25
100000561,26
100000561,22
100000562,25
100000563,21
100000563,23
100000564,28
100000564,23
100000564,23
100000564,22
100000565,27
100000565,25
100000565,23
100000565,28
100000566,23
100000566,23
100000567,23
100000568,20
100000568,27
100000568,23
100000569,28
100000569,27
100000570,22
100000570,27
100000570,24
100000571,23
100000571,27
100000571,26
100000572,28
100000572,21
100000572,25
100000573,28
100000573,21
100000574,26
100000574,25
100000575,20
100000576,27
100000577,20
100000578,24
100000579,24
100000579,29
100000579,25
100000580,29
100000580,27
100000580,24
100000580,28
100000581,28
100000581,20
100000581,22
100000581,24
100000582,25
100000582,22
100000583,28
100000583,28
100000584,25
100000584,20
100000585,26
100000585,21
100000585,28
100000585,20
100000586,20
100000586,26
100000587,25
100000587,26
100000587,22
100000587,22
100000588,26
100000588,28
100000588,27
100000588,23
100000589,23
100000589,25
100000590,24
100000591,21
100000591,22
100000591,26
100000591,21
100000592,27
100000592,29
100000592,21
100000592,20
100000593,27
100000594,29
100000595,22
100000595,23
100000595,21
100000595,28
100000596,20
100000597,20
100000597,29
100000598,26
100000599,24
100000600,20
100000600,25
100000600,28
100000600,21
100000601,22
100000601,23
100000601,29
100000601,22
100000602,28
100000602,20
100000602,28
100000602,27
100000603,20
100000603,21
100000603,23
100000603,20
100000604,24
100000604,21
100000604,25
100000605,24
100000606,28
100000606,24
100000606,23
100000606,24
100000607,20
100000607,28
100000607,20
100000607,21
100000608,21
100000609,28
100000610,26
100000610,23
100000610,23
100000611,23
100000611,20
100000612,23
100000613,26
100000613,22
100000613,26
100000614,20
100000614,29
100000614,28
100000614,24
100000615,27
100000615,23
100000615,27
100000616,21
100000616,26
100000617,29
100000617,25
100000618,20
100000619,21
100000619,25
100000619,22
100000620,28
100000621,29
100000622,26
100000622,26
100000622,27
100000622,24
100000623,22
100000624,28
100000624,20
100000624,23
100000625,27
100000625,25
100000625,27
100000626,29
100000626,20
100000626,29
100000626,27
100000627,21
100000628,23
100000628,29
100000629,25
100000629,27
100000629,21
100000629,29
100000630,21
100000630,27
100000631,22
100000631,29
100000632,23
100000632,28
100000632,21
100000633,27
100000634,27
100000634,27
100000634,27
100000634,24
100000635,25
100000635,20
100000635,21
100000635,23
100000636,24
100000637,25
100000637,25
100000638,21
100000638,26
100000638,25
100000638,28
100000639,20
100000639,24
100000640,28
100000640,20
100000641,22
100000641,23
100000641,23
100000641,20
100000642,21
100000642,29
100000643,22
100000644,23
100000644,23
100000645,24
100000645,27
100000645,27
100000646,29
100000646,26
100000647,22
100000647,27
100000647,24
100000647,25
100000648,24
100000649,21
100000649,22
100000650,20
100000650,20
100000650,25
100000651,28
100000652,28
100000652,27
100000652,25
100000652,22
100000653,26
100000653,23
100000654,24
100000655,24
100000655,23
100000656,22
100000656,26
100000657,26
100000657,25
100000657,20
100000657,26
100000658,28
100000658,20
100000658,28
100000658,26
100000659,24
100000660,21
100000660,24
100000661,29
100000661,27
100000662,24
100000663,27
100000664,29
100000665,20
100000665,22
100000665,21
100000665,22
100000666,22
100000666,23
100000667,20
100000667,27
100000667,29
100000668,25
100000669,24
100000669,21
100000669,29
100000670,21
100000670,27
100000670,20
100000671,27
100000671,23
100000671,29
100000671,21
100000672,24
100000672,28
100000672,25
100000672,20
100000673,28
100000674,28
100000675,26
100000675,20
100000675,20
100000676,27
100000676,28
100000676,22
100000676,24
100000677,21
100000677,22
100000678,20
100000678,27
100000678,28
100000678,26
100000679,27
100000680,25
100000681,21
100000682,23
100000682,25
100000683,22
100000683,29
100000683,24
100000683,24
100000684,23
100000684,28
100000684,21
100000684,20
100000685,21
100000685,22
100000685,22
100000686,23
100000687,27
100000687,26
100000688,25
100000688,24
100000689,27
100000689,26
100000690,21
100000690,28
100000690,23
100000691,27
100000692,22
100000693,20
100000693,23
100000694,20
100000695,23
100000695,29
100000695,22
100000696,26
100000696,21
100000696,24
100000697,28
100000697,21
100000697,28
100000698,27
100000699,27
100000699,24
100000700,20
100000700,24
100000700,27
100000701,26
100000701,21
100000701,21
100000702,27
100000702,25
100000702,24
100000702,27
100000703,29
100000704,25
100000704,20
100000705,21
100000705,23
100000705,25
100000705,23
100000706,26
100000707,21
100000707,27
100000707,21
100000708,23
100000708,28
100000709,24
100000710,26
100000710,26
100000710,25
100000710,22
100000711,28
100000712,27
100000712,21
100000712,23
100000713,20
100000713,29
100000714,29
100000714,29
100000715,29
100000715,25
100000716,29
100000716,21
100000716,26
100000716,28
100000717,24
100000717,25
100000717,27
100000717,24
100000718,22
100000718,22
100000718,21
100000718,28
100000719,26
100000719,24
100000719,23
100000719,24
100000720,25
100000721,22
100000721,27
100000721,27
100000722,28
100000722,29
100000722,21
100000723,21
100000723,21
100000723,20
100000724,20
100000724,20
100000724,24
100000724,29
100000725,23
100000725,26
100000726,26
100000726,22
100000726,22
100000727,25
100000727,29
100000728,25
100000728,20
100000728,25
100000729,25
100000730,21
100000730,20
100000730,27
100000730,28
100000731,22
100000731,24
100000732,27
100000733,21
100000734,25
100000734,27
100000734,29
100000734,21
100000735,27
100000736,23
100000736,26
100000736,21
100000737,20
100000738,29
100000738,27
100000738,20
100000739,28
100000739,20
100000740,23
100000740,27
100000741,26
100000742,26
100000742,28
100000742,29
100000743,24
100000743,20
100000743,22
100000743,28
100000744,22
100000744,27
100000744,22
100000745,25
100000745,23
100000745,23
100000746,23
100000746,29
100000746,25
100000746,21
100000747,24
100000748,27
100000749,29
100000749,28
100000750,26
100000751,25
100000752,29
100000752,22
100000752,26
100000752,20
100000753,26
100000753,28
100000754,20
100000754,27
100000755,27
100000755,20
100000755,29
100000755,29
100000756,28
100000756,25
100000757,29
100000757,28
100000758,22
100000759,29
100000759,29
100000760,29
100000760,25
100000760,25
100000761,26
100000761,22
100000761,27
100000761,21
100000762,26
100000762,24
100000762,23
100000762,25
100000763,25
100000763,24
100000763,26
100000764,22
100000764,20
100000765,20
100000765,22
100000765,23
100000766,23
100000766,28
100000767,27
100000767,25
100000767,25
100000767,20
100000768,27
100000768,25
100000768,24
100000769,22
100000769,28
100000769,29
100000770,26
100000771,24
100000771,23
100000771,25
100000772,21
100000772,21
100000772,23
100000772,29
100000773,27
100000773,26
100000774,25
100000774,28
100000775,28
100000775,26
100000775,20
100000776,25
100000776,23
100000776,27
100000776,29
100000777,27
100000777,21
100000777,26
100000778,29
100000778,20
100000779,28
100000779,20
100000780,27
100000780,20
100000781,25
100000781,22
100000781,23
100000782,24
100000783,24
100000784,29
100000785,29
100000785,28
100000786,22
100000786,23
100000787,22
100000787,23
100000787,21
100000788,29
100000788,28
100000789,21
100000790,20
100000790,22
100000790,27
100000790,29
100000791,20
100000791,26
100000791,25
100000791,25
100000792,21
100000793,27
100000794,26
100000794,25
100000794,24
100000794,20
100000795,25
100000795,26
100000796,29
100000796,24
100000796,22
100000796,28
100000797,26
100000798,24
100000798,22
100000799,26
100000799,20
100000800,28
100000800,27
100000800,23
100000800,22
100000801,26
100000801,29
100000801,28
100000801,26
100000802,29
100000803,25
100000804,28
100000804,27
100000804,26
100000805,23
100000806,22
100000806,21
100000806,23
100000807,25
100000807,25
100000807,29
100000807,26
100000808,25
100000808,23
100000808,28
100000809,21
100000810,25
100000810,25
100000811,28
100000811,22
100000812,26
100000813,22
100000813,26
100000814,29
100000814,23
100000815,26
100000815,20
100000815,27
100000816,22
100000816,29
100000816,24
100000816,23
100000817,26
100000818,27
100000819,24
100000819,26
100000819,22
100000819,21
100000820,20
100000820,27
100000820,20
100000821,29
100000821,27
100000821,27
100000822,24
100000822,24
100000823,25
100000823,22
100000824,25
100000824,28
100000824,20
100000824,20
100000825,27
100000826,23
100000827,29
100000827,21
100000827,25
100000828,23
100000828,29
100000828,29
100000828,29
100000829,26
100000829,25
100000829,21
100000830,29
100000830,27
100000831,26
100000831,20
100000832,21
100000832,27
100000833,26
100000834,25
100000834,23
100000834,27
100000835,25
100000835,27
100000835,22
100000835,24
100000836,26
100000836,24
100000836,25
100000837,26
100000837,28
100000838,24
100000838,27
100000838,28
100000838,25
100000839,22
100000840,21
100000840,21
100000840,29
100000840,26
100000841,23
100000841,23
100000841,26
100000841,20
100000842,22
100000843,24
100000844,23
100000844,29
100000844,26
100000845,26
100000845,26
100000845,28
100000845,26
100000846,26
100000846,28
100000846,27
100000847,20
100000848,29
100000849,27
100000849,27
100000849,20
100000849,23
100000850,29
100000850,29
100000850,20
100000850,28
100000851,22
100000851,26
100000851,24
100000852,26
100000852,29
100000852,20
100000852,29
100000853,25
100000853,29
100000854,24
100000855,24
100000855,22
100000856,26
100000856,23
100000856,28
100000857,24
100000857,29
100000858,24
100000858,25
100000858,24
100000858,26
100000859,28
100000859,27
100000860,27
100000860,21
100000860,20
100000860,24
100000861,28
100000861,25
100000861,27
100000861,26
100000862,24
100000863,26
100000863,20
100000863,22
100000864,22
100000864,25
100000865,23
100000866,21
100000867,20
100000868,25
100000868,24
100000868,27
100000868,27
100000869,22
100000869,26
100000869,27
100000870,23
100000870,21
100000870,24
100000870,27
100000871,29
100000872,24
100000873,27
100000874,28
100000874,27
100000874,27
100000874,26
100000875,20
100000875,21
100000875,22
100000875,20
100000876,24
100000876,26
100000877,24
100000877,23
100000878,27
100000878,29
100000878,25
100000878,22
100000879,27
100000880,21
100000880,25
100000880,28
100000880,22
100000881,22
100000881,22
100000882,25
100000883,23
100000883,22
100000883,26
100000884,20
100000885,28
100000885,29
100000885,21
100000886,28
100000886,21
100000886,23
100000886,26
100000887,26
100000887,22
100000887,25
100000888,23
100000888,23
100000888,23
100000889,23
100000890,21
100000890,28
100000891,29
100000891,22
100000891,25
100000891,25
100000892,20
100000892,23
100000893,20
100000894,29
100000895,29
100000896,29
100000896,23
100000896,26
100000897,28
100000897,25
100000897,22
100000898,25
100000898,21
100000898,25
100000898,27
100000899,21
100000899,21
100000899,21
100000899,27
100000900,27
100000901,28
100000902,28
100000902,20
100000902,21
100000902,28
100000903,20
100000903,24
100000904,21
100000905,21
100000905,26
100000905,20
100000906,25
100000906,29
100000906,29
100000906,24
100000907,26
100000907,24
100000908,27
100000908,27
100000908,27
100000908,26
100000909,28
100000910,26
100000910,22
100000911,28
100000911,28
100000911,23
100000911,26
100000912,25
100000912,27
100000912,22
100000912,25
100000913,20
100000913,23
100000914,23
100000914,24
100000914,25
100000915,29
100000915,22
100000915,29
100000915,28
100000916,24
100000916,20
100000917,28
100000917,21
100000917,20
100000917,22
100000918,20
100000919,29
100000919,29
100000919,25
100000920,28
100000920,27
100000921,26
100000921,29
100000922,22
100000922,28
100000922,22
100000922,23
100000923,20
100000924,27
100000925,29
100000925,25
100000926,25
100000927,26
100000927,23
100000928,26
100000929,29
100000929,20
100000929,29
100000930,23
100000930,24
100000931,21
100000931,27
100000931,29
100000932,23
100000932,21
100000933,23
100000933,22
100000933,24
100000934,20
100000934,29
100000934,28
100000935,24
100000935,25
100000936,20
100000936,26
100000936,29
100000937,20
100000938,24
100000938,22
100000938,28
100000939,23
100000940,22
100000941,23
100000941,25
100000941,20
100000942,22
100000942,22
100000942,29
100000942,29
100000943,23
100000943,21
100000943,23
100000943,28
100000944,29
100000944,20
100000945,22
100000945,25
100000945,29
100000946,21
100000947,24
100000948,22
100000948,21
100000948,29
100000949,25
100000950,22
