ssn,doc_id
100000343,66
100000344,195
100000345,297
100000346,215
100000347,95
100000348,215
100000349,48
100000350,31
100000351,47
100000352,142
100000353,147
100000354,11
100000355,236
100000356,152
100000357,54
100000358,50
100000359,21
100000360,70
100000361,273
100000362,109
100000363,117
100000364,154
100000365,246
100000366,183
100000367,233
100000368,50
100000369,221
100000370,271
100000371,266
100000372,14
100000373,186
100000374,176
100000375,187
100000376,293
100000377,48
100000378,101
100000379,77
100000380,115
100000381,57
100000382,172
100000383,273
100000384,146
100000385,245
100000386,239
100000387,29
100000388,114
100000389,276
100000390,260
100000391,293
100000392,122
100000393,46
100000394,231
100000395,260
100000396,229
100000397,230
100000398,288
100000399,122
100000400,99
100000401,213
100000402,247
100000403,220
100000404,121
100000405,238
100000406,246
100000407,32
100000408,108
100000409,239
100000410,175
100000411,237
100000412,227
100000413,80
100000414,292
100000415,174
100000416,265
100000417,285
100000418,182
100000419,14
100000420,276
100000421,176
100000422,54
100000423,228
100000424,19
100000425,20
100000426,280
100000427,153
100000428,187
100000429,239
100000430,275
100000431,119
100000432,27
100000433,54
100000434,110
100000435,29
100000436,193
100000437,33
100000438,208
100000439,267
100000440,269
100000441,117
100000442,19
100000443,139
100000444,211
100000445,113
100000446,108
100000447,251
100000448,269
100000449,51
100000450,24
100000451,60
100000452,33
100000453,241
100000454,13
100000455,90
100000456,102
100000457,166
100000458,282
100000459,72
100000460,71
100000461,89
100000462,109
100000463,295
100000464,62
100000465,133
100000466,234
100000467,286
100000468,42
100000469,123
100000470,272
100000471,130
100000472,18
100000473,288
100000474,175
100000475,155
100000476,140
100000477,101
100000478,24
100000479,260
100000480,119
100000481,77
100000482,274
100000483,156
100000484,36
100000485,241
100000486,252
100000487,222
100000488,266
100000489,263
100000490,153
100000491,158
100000492,20
100000493,230
100000494,128
100000495,186
100000496,198
100000497,15
100000498,210
100000499,186
100000500,117
100000501,130
100000502,292
100000503,282
100000504,284
100000505,157
100000506,69
100000507,128
100000508,69
100000509,196
100000510,90
100000511,190
100000512,148
100000513,243
100000514,80
100000515,206
100000516,154
100000517,204
100000518,35
100000519,224
100000520,58
100000521,175
100000522,64
100000523,299
100000524,203
100000525,17
100000526,18
100000527,142
100000528,96
100000529,192
100000530,174
100000531,226
100000532,83
100000533,82
100000534,253
100000535,178
100000536,215
100000537,143
100000538,173
100000539,285
100000540,145
100000541,132
100000542,287
100000543,279
100000544,282
100000545,134
100000546,262
100000547,213
100000548,93
100000549,13
100000550,287
100000551,127
100000552,48
100000553,89
100000554,84
100000555,125
100000556,67
100000557,161
100000558,93
100000559,135
100000560,155
100000561,103
100000562,58
100000563,241
100000564,58
100000565,108
100000566,238
100000567,268
100000568,68
100000569,215
100000570,153
100000571,69
100000572,67
100000573,294
100000574,135
100000575,37
100000576,63
100000577,68
100000578,281
100000579,84
100000580,37
100000581,27
100000582,73
100000583,141
100000584,180
100000585,121
100000586,208
100000587,283
100000588,293
100000589,40
100000590,13
100000591,299
100000592,82
100000593,148
100000594,29
100000595,181
100000596,54
100000597,132
100000598,39
100000599,291
100000600,66
100000601,71
100000602,122
100000603,293
100000604,169
100000605,183
100000606,236
100000607,297
100000608,49
100000609,95
100000610,40
100000611,202
100000612,166
100000613,31
100000614,72
100000615,77
100000616,192
100000617,269
100000618,45
100000619,192
100000620,252
100000621,232
100000622,115
100000623,129
100000624,92
100000625,176
100000626,147
100000627,265
100000628,71
100000629,289
100000630,166
100000631,247
100000632,249
100000633,142
100000634,235
100000635,83
100000636,54
100000637,49
100000638,256
100000639,117
100000640,134
100000641,177
100000642,169
100000643,151
100000644,151
100000645,194
100000646,156
100000647,78
100000648,144
100000649,102
100000650,61
100000651,83
100000652,289
100000653,59
100000654,160
100000655,180
100000656,12
100000657,93
100000658,111
100000659,150
100000660,88
100000661,101
100000662,231
100000663,283
100000664,191
100000665,92
100000666,239
100000667,273
100000668,180
100000669,149
100000670,179
100000671,120
100000672,44
100000673,31
100000674,181
100000675,52
100000676,263
100000677,50
100000678,155
100000679,122
100000680,202
100000681,119
100000682,11
100000683,70
100000684,195
100000685,264
100000686,129
100000687,200
100000688,155
100000689,51
100000690,258
100000691,30
100000692,250
100000693,285
100000694,296
100000695,126
100000696,56
100000697,280
100000698,233
100000699,96
100000700,245
100000701,271
100000702,146
100000703,23
100000704,183
100000705,42
100000706,96
100000707,276
100000708,183
100000709,187
100000710,179
100000711,107
100000712,36
100000713,210
100000714,222
100000715,96
100000716,83
100000717,258
100000718,154
100000719,190
100000720,295
100000721,247
100000722,169
100000723,17
100000724,161
100000725,191
100000726,105
100000727,87
100000728,48
100000729,144
100000730,103
100000731,155
100000732,105
100000733,38
100000734,276
100000735,144
100000736,149
100000737,59
100000738,28
100000739,46
100000740,96
100000741,152
100000742,36
100000743,60
100000744,149
100000745,212
100000746,191
100000747,99
100000748,44
100000749,166
100000750,126
100000751,208
100000752,214
100000753,74
100000754,193
100000755,73
100000756,36
100000757,114
100000758,119
100000759,259
100000760,223
100000761,204
100000762,37
100000763,50
100000764,122
100000765,170
100000766,142
100000767,80
100000768,214
100000769,54
100000770,200
100000771,167
100000772,289
100000773,65
100000774,152
100000775,298
100000776,51
100000777,273
100000778,126
100000779,137
100000780,253
100000781,277
100000782,112
100000783,220
100000784,19
100000785,137
100000786,211
100000787,42
100000788,155
100000789,73
100000790,94
100000791,54
100000792,160
100000793,24
100000794,116
100000795,201
100000796,66
100000797,12
100000798,144
100000799,128
100000800,270
100000801,230
100000802,290
100000803,62
100000804,144
100000805,217
100000806,175
100000807,30
100000808,199
100000809,37
100000810,249
100000811,33
100000812,90
100000813,106
100000814,172
100000815,33
100000816,290
100000817,197
100000818,214
100000819,132
100000820,281
100000821,283
100000822,14
100000823,17
100000824,121
100000825,208
100000826,194
100000827,69
100000828,181
100000829,65
100000830,103
100000831,172
100000832,286
100000833,236
100000834,128
100000835,130
100000836,153
100000837,184
100000838,12
100000839,44
100000840,274
100000841,252
100000842,275
100000843,135
100000844,219
100000845,104
100000846,201
100000847,55
100000848,192
100000849,117
100000850,115
100000851,167
100000852,136
100000853,191
100000854,150
100000855,115
100000856,73
100000857,284
100000858,75
100000859,77
100000860,64
100000861,244
100000862,145
100000863,219
100000864,226
100000865,238
100000866,64
100000867,280
100000868,30
100000869,215
100000870,59
100000871,258
100000872,272
100000873,235
100000874,279
100000875,216
100000876,228
100000877,56
100000878,131
100000879,59
100000880,295
100000881,206
100000882,87
100000883,84
100000884,174
100000885,100
100000886,66
100000887,15
100000888,25
100000889,32
100000890,261
100000891,50
100000892,38
100000893,220
100000894,50
100000895,21
100000896,197
100000897,212
100000898,147
100000899,79
100000900,20
100000901,244
100000902,209
100000903,274
100000904,267
100000905,144
100000906,280
100000907,266
100000908,178
100000909,81
100000910,87
100000911,22
100000912,157
100000913,71
100000914,189
100000915,269
100000916,95
100000917,264
100000918,214
100000919,112
100000920,262
100000921,289
100000922,165
100000923,230
100000924,213
100000925,26
100000926,99
100000927,101
100000928,169
100000929,274
100000930,208
100000931,51
100000932,190
100000933,296
100000934,147
100000935,62
100000936,95
100000937,114
100000938,137
100000939,127
100000940,127
100000941,19
100000942,129
100000943,214
100000944,187
100000945,74
100000946,250
100000947,98
100000948,104
100000949,21
100000950,102
100000951,50
100000952,214
100000953,298
100000954,158
100000955,17
100000956,142
100000957,147
100000958,245
100000959,178
100000960,188
100000961,208
100000962,74
100000963,125
100000964,156
100000965,164
100000966,271
100000967,30
100000968,286
100000969,136
100000970,270
100000971,33
100000972,77
100000973,243
100000974,273
100000975,281
100000976,206
100000977,226
100000978,132
100000979,263
100000980,91
100000981,291
100000982,218
100000983,134
100000984,28
100000985,121
100000986,133
100000987,80
100000988,181
100000989,289
100000990,57
100000991,268
100000992,176
100000993,179
100000994,19
100000995,24
100000996,274
100000997,190
100000998,30
100000999,211
100001000,139
100001001,138
100001002,214
100001003,176
100001004,86
100001005,176
100001006,98
100001007,268
100001008,170
100001009,49
100001010,21
100001011,36
100001012,254
100001013,114
100001014,64
100001015,27
100001016,92
100001017,36
100001018,190
100001019,233
100001020,27
100001021,23
100001022,258
100001023,95
100001024,38
100001025,49
100001026,112
100001027,58
100001028,251
100001029,85
100001030,246
100001031,71
100001032,66
100001033,237
100001034,296
100001035,252
100001036,210
100001037,191
100001038,96
100001039,153
100001040,45
100001041,47
100001042,143
100001043,206
100001044,74
100001045,278
100001046,67
100001047,298
100001048,98
100001049,127
100001050,147
100001051,272
100001052,124
100001053,11
100001054,181
100001055,163
100001056,275
100001057,104
100001058,225
100001059,225
100001060,114
100001061,149
100001062,231
100001063,137
100001064,225
100001065,248
100001066,44
100001067,145
100001068,55
100001069,287
100001070,56
100001071,16
100001072,106
100001073,209
100001074,49
100001075,15
100001076,95
100001077,174
100001078,175
100001079,235
100001080,204
100001081,258
100001082,56
100001083,229
100001084,127
100001085,116
100001086,18
100001087,292
100001088,271
100001089,30
100001090,86
100001091,151
100001092,97
100001093,55
100001094,246
100001095,204
100001096,212
100001097,53
100001098,144
100001099,194
100001100,218
100001101,113
100001102,218
100001103,196
100001104,269
100001105,151
100001106,182
100001107,275
100001108,131
100001109,209
100001110,11
100001111,108
100001112,253
100001113,280
100001114,226
100001115,58
100001116,46
100001117,13
100001118,98
100001119,113
100001120,260
100001121,38
100001122,61
100001123,249
100001124,253
100001125,158
100001126,37
100001127,133
100001128,232
100001129,121
100001130,32
100001131,77
100001132,222
100001133,289
100001134,51
100001135,93
100001136,208
100001137,290
100001138,213
100001139,265
100001140,123
100001141,217
100001142,69
100001143,230
100001144,123
100001145,14
100001146,114
100001147,251
100001148,196
100001149,36
100001150,293
100001151,71
100001152,283
100001153,102
100001154,287
100001155,25
100001156,123
100001157,126
100001158,50
100001159,237
100001160,203
100001161,234
100001162,272
100001163,59
100001164,267
100001165,255
100001166,152
100001167,158
100001168,136
100001169,287
100001170,279
100001171,127
100001172,16
100001173,270
100001174,161
100001175,168
100001176,296
100001177,258
100001178,78
100001179,253
100001180,70
100001181,107
100001182,199
100001183,62
100001184,25
100001185,259
100001186,177
100001187,79
100001188,262
100001189,73
100001190,88
100001191,214
100001192,294
100001193,210
100001194,228
100001195,136
100001196,76
100001197,298
100001198,167
100001199,281
100001200,253
100001201,122
100001202,11
100001203,227
100001204,114
100001205,239
100001206,237
100001207,296
100001208,20
100001209,266
100001210,43
100001211,216
100001212,23
100001213,57
100001214,73
100001215,93
100001216,110
100001217,61
100001218,35
100001219,160
100001220,168
100001221,97
100001222,150
100001223,46
100001224,271
100001225,204
100001226,90
100001227,161
100001228,57
100001229,50
100001230,146
100001231,86
100001232,83
100001233,126
100001234,244
100001235,37
100001236,67
100001237,100
100001238,175
100001239,215
100001240,173
100001241,265
100001242,151
100001243,59
100001244,26
100001245,163
100001246,40
100001247,108
100001248,16
100001249,205
100001250,108
100001251,227
100001252,37
100001253,280
100001254,184
100001255,139
100001256,139
100001257,52
100001258,205
100001259,77
100001260,30
100001261,213
100001262,235
100001263,85
100001264,265
100001265,89
100001266,94
100001267,214
100001268,131
100001269,290
100001270,173
100001271,212
100001272,80
100001273,234
100001274,39
100001275,27
100001276,261
100001277,143
100001278,140
100001279,99
100001280,106
100001281,161
100001282,119
100001283,255
100001284,130
100001285,132
100001286,100
100001287,220
100001288,151
100001289,263
100001290,110
100001291,99
100001292,216
100001293,135
100001294,267
100001295,76
100001296,122
100001297,88
100001298,260
100001299,206
100001300,26
100001301,289
100001302,255
100001303,127
100001304,272
100001305,201
100001306,233
100001307,275
100001308,286
100001309,164
100001310,154
100001311,26
100001312,155
100001313,169
100001314,153
100001315,120
100001316,36
100001317,44
100001318,168
100001319,205
100001320,17
100001321,181
100001322,153
100001323,87
100001324,270
100001325,226
100001326,62
100001327,241
100001328,151
100001329,139
100001330,214
100001331,284
100001332,64
100001333,108
100001334,247
100001335,82
100001336,185
100001337,244
100001338,242
100001339,26
100001340,276
100001341,110
100001342,153
100001343,29
100001344,34
100001345,217
100001346,166
100001347,86
100001348,155
100001349,172
100001350,21
100001351,68
100001352,257
100001353,84
100001354,122
100001355,11
100001356,69
100001357,155
100001358,174
100001359,287
100001360,149
100001361,56
100001362,205
100001363,16
100001364,14
100001365,49
100001366,173
100001367,69
100001368,139
100001369,16
100001370,123
100001371,230
100001372,168
100001373,24
100001374,214
100001375,156
100001376,242
100001377,15
100001378,86
100001379,51
100001380,252
100001381,180
100001382,160
100001383,54
100001384,191
100001385,97
100001386,58
100001387,120
100001388,50
100001389,54
100001390,36
100001391,16
100001392,96
100001393,102
100001394,277
100001395,50
100001396,268
100001397,170
100001398,167
100001399,217
100001400,81
100001401,124
100001402,151
100001403,137
100001404,137
100001405,175
100001406,67
100001407,13
100001408,194
100001409,128
100001410,112
100001411,265
100001412,137
100001413,100
100001414,254
100001415,14
100001416,156
100001417,69
100001418,41
100001419,183
100001420,215
100001421,182
100001422,38
100001423,174
100001424,61
100001425,270
100001426,277
100001427,127
100001428,252
100001429,128
100001430,82
100001431,155
100001432,202
100001433,233
100001434,74
100001435,57
100001436,90
100001437,181
100001438,159
100001439,88
100001440,126
100001441,51
100001442,283
100001443,73
100001444,25
100001445,169
100001446,264
100001447,97
100001448,158
100001449,219
100001450,150
100001451,246
100001452,288
100001453,11
100001454,222
100001455,255
100001456,165
100001457,258
100001458,30
100001459,136
100001460,173
100001461,178
100001462,202
100001463,294
100001464,174
100001465,188
100001466,255
100001467,214
100001468,23
100001469,156
100001470,41
100001471,217
100001472,144
100001473,237
100001474,202
100001475,82
100001476,168
100001477,48
100001478,48
100001479,84
100001480,48
100001481,264
100001482,127
100001483,209
100001484,52
100001485,24
100001486,247
100001487,279
100001488,94
100001489,221
100001490,176
100001491,56
100001492,132
100001493,49
100001494,177
100001495,37
100001496,14
100001497,75
100001498,269
100001499,123
100001500,103
100001501,13
100001502,211
100001503,203
100001504,227
100001505,43
100001506,149
100001507,249
100001508,177
100001509,76
100001510,179
100001511,183
100001512,232
100001513,215
100001514,157
100001515,203
100001516,67
100001517,250
100001518,254
100001519,102
100001520,181
100001521,152
100001522,13
100001523,230
100001524,93
100001525,298
100001526,93
100001527,66
100001528,90
100001529,188
100001530,110
100001531,125
100001532,112
100001533,40
100001534,295
100001535,283
100001536,156
100001537,132
100001538,102
100001539,182
100001540,148
100001541,70
100001542,98
100001543,18
100001544,116
100001545,106
100001546,54
100001547,144
100001548,96
100001549,237
100001550,150
100001551,249
100001552,293
100001553,252
100001554,296
100001555,273
100001556,79
100001557,83
100001558,224
100001559,218
100001560,203
100001561,32
100001562,86
100001563,271
100001564,84
100001565,253
100001566,53
100001567,218
100001568,237
100001569,124
100001570,294
100001571,152
100001572,54
100001573,163
100001574,48
100001575,258
100001576,269
100001577,129
100001578,36
100001579,56
100001580,201
100001581,197
100001582,101
100001583,140
100001584,250
100001585,136
100001586,76
100001587,46
100001588,168
100001589,231
100001590,151
100001591,255
100001592,53
100001593,14
100001594,33
100001595,50
100001596,185
100001597,138
100001598,286
100001599,204
100001600,178
100001601,162
100001602,148
100001603,22
100001604,57
100001605,133
100001606,85
100001607,294
100001608,74
100001609,103
100001610,46
100001611,113
100001612,64
100001613,102
100001614,97
100001615,198
100001616,49
100001617,79
100001618,151
100001619,272
100001620,73
100001621,235
100001622,117
100001623,219
100001624,197
100001625,137
100001626,77
100001627,133
100001628,205
100001629,214
100001630,43
100001631,14
100001632,154
100001633,24
100001634,277
100001635,109
100001636,190
100001637,168
100001638,148
100001639,139
100001640,85
100001641,121
100001642,199
100001643,236
100001644,273
100001645,247
100001646,97
100001647,151
100001648,182
100001649,20
100001650,233
100001651,135
100001652,158
100001653,175
100001654,270
100001655,296
100001656,285
100001657,112
100001658,238
100001659,246
100001660,57
100001661,76
100001662,84
100001663,287
100001664,242
100001665,244
100001666,51
100001667,270
100001668,184
100001669,203
100001670,206
100001671,79
100001672,23
100001673,260
100001674,56
100001675,227
100001676,215
100001677,205
100001678,46
100001679,219
100001680,61
100001681,178
100001682,123
100001683,174
100001684,141
100001685,206
100001686,253
100001687,178
100001688,289
100001689,248
100001690,181
100001691,31
100001692,201
100001693,152
100001694,92
100001695,35
100001696,23
100001697,260
100001698,64
100001699,243
100001700,59
100001701,196
100001702,74
100001703,291
100001704,203
100001705,86
100001706,142
100001707,56
100001708,144
100001709,189
100001710,290
100001711,223
100001712,284
100001713,66
100001714,71
100001715,115
100001716,54
100001717,83
100001718,277
100001719,239
100001720,162
100001721,150
100001722,164
100001723,93
100001724,175
100001725,15
100001726,215
100001727,22
100001728,96
100001729,59
100001730,37
100001731,118
100001732,84
100001733,275
100001734,296
100001735,56
100001736,293
100001737,203
100001738,294
100001739,81
100001740,218
100001741,254
100001742,188
100001743,249
100001744,141
100001745,23
100001746,59
100001747,209
100001748,146
100001749,138
100001750,110
100001751,126
100001752,262
100001753,106
100001754,92
100001755,190
100001756,287
100001757,181
100001758,37
100001759,285
100001760,21
100001761,79
100001762,286
100001763,192
100001764,48
100001765,129
100001766,273
100001767,276
100001768,24
100001769,281
100001770,295
100001771,270
100001772,249
100001773,266
100001774,107
100001775,250
100001776,296
100001777,87
100001778,133
100001779,239
100001780,154
100001781,151
100001782,269
100001783,236
100001784,71
100001785,274
100001786,87
100001787,277
100001788,294
100001789,130
100001790,132
100001791,275
100001792,211
100001793,234
100001794,162
100001795,258
100001796,121
100001797,281
100001798,182
100001799,17
100001800,77
100001801,206
100001802,28
100001803,179
100001804,104
100001805,87
100001806,23
100001807,106
100001808,47
100001809,120
100001810,164
100001811,166
100001812,151
100001813,166
100001814,54
100001815,177
100001816,96
100001817,18
100001818,266
100001819,284
100001820,117
100001821,162
100001822,298
100001823,21
100001824,263
100001825,34
100001826,115
100001827,177
100001828,241
100001829,297
100001830,137
100001831,205
100001832,185
100001833,270
100001834,65
100001835,241
100001836,94
100001837,43
100001838,102
100001839,39
100001840,225
100001841,16
100001842,142
100001843,189
100001844,299
100001845,29
100001846,240
100001847,36
100001848,115
100001849,91
100001850,113
100001851,73
100001852,25
100001853,90
100001854,59
100001855,165
100001856,200
100001857,96
100001858,132
100001859,270
100001860,294
100001861,279
100001862,134
100001863,94
100001864,213
100001865,97
100001866,184
100001867,240
100001868,247
100001869,209
100001870,26
100001871,114
100001872,224
100001873,112
100001874,107
100001875,78
100001876,141
100001877,78
100001878,149
100001879,25
100001880,103
100001881,212
100001882,190
100001883,235
100001884,112
100001885,232
100001886,196
100001887,51
100001888,29
100001889,55
100001890,22
100001891,103
100001892,149
100001893,62
100001894,76
100001895,168
100001896,155
100001897,294
100001898,224
100001899,291
100001900,108
100001901,228
100001902,246
100001903,195
100001904,110
100001905,76
100001906,72
100001907,210
100001908,88
100001909,146
100001910,137
100001911,48
100001912,29
100001913,74
100001914,114
100001915,280
100001916,83
100001917,162
100001918,172
100001919,180
100001920,88
100001921,245
100001922,101
100001923,59
100001924,228
100001925,185
100001926,82
100001927,276
100001928,197
100001929,46
100001930,282
100001931,71
100001932,141
100001933,174
100001934,84
100001935,227
100001936,228
100001937,260
100001938,59
100001939,53
100001940,84
100001941,20
100001942,280
100001943,137
100001944,21
100001945,143
100001946,206
100001947,152
100001948,90
100001949,53
100001950,66
100001951,72
100001952,36
100001953,298
100001954,218
100001955,98
100001956,130
100001957,271
100001958,183
100001959,199
100001960,160
100001961,288
100001962,55
100001963,158
100001964,225
100001965,112
100001966,128
100001967,232
100001968,92
100001969,155
100001970,97
100001971,118
100001972,190
100001973,161
100001974,203
100001975,130
100001976,205
100001977,235
100001978,155
100001979,230
100001980,201
100001981,170
100001982,295
100001983,20
100001984,74
100001985,156
100001986,208
100001987,213
100001988,241
100001989,225
100001990,53
100001991,63
100001992,164
100001993,264
100001994,239
100001995,43
100001996,203
100001997,38
100001998,147
100001999,78
100002000,132
100002001,19
100002002,274
100002003,239
100002004,278
100002005,73
100002006,95
100002007,247
100002008,179
100002009,59
100002010,111
100002011,217
100002012,244
100002013,164
100002014,107
100002015,33
100002016,282
100002017,95
100002018,224
100002019,126
100002020,246
100002021,82
100002022,247
100002023,136
100002024,244
100002025,259
100002026,234
100002027,254
100002028,290
100002029,268
100002030,117
100002031,162
100002032,259
100002033,14
100002034,101
100002035,176
100002036,86
100002037,181
100002038,24
100002039,159
100002040,86
100002041,284
100002042,178
100002043,104
100002044,106
100002045,211
100002046,63
100002047,27
100002048,175
100002049,292
100002050,86
100002051,270
100002052,22
100002053,235
100002054,231
100002055,264
100002056,292
100002057,220
100002058,59
100002059,91
100002060,179
100002061,189
100002062,69
100002063,275
100002064,238
100002065,277
100002066,266
100002067,175
100002068,282
100002069,256
100002070,97
100002071,196
100002072,101
100002073,136
100002074,219
100002075,56
100002076,243
100002077,199
100002078,69
100002079,264
100002080,296
100002081,279
100002082,192
100002083,49
100002084,176
100002085,182
100002086,11
100002087,147
100002088,63
100002089,210
100002090,133
100002091,251
100002092,262
100002093,53
100002094,281
100002095,265
100002096,31
100002097,105
100002098,62
100002099,120
100002100,103
100002101,48
100002102,90
100002103,299
100002104,253
100002105,88
100002106,149
100002107,108
100002108,165
100002109,235
100002110,230
100002111,199
100002112,280
100002113,280
100002114,159
100002115,159
100002116,296
100002117,186
100002118,19
100002119,151
100002120,238
100002121,145
100002122,137
100002123,70
100002124,228
100002125,187
100002126,140
100002127,277
100002128,158
100002129,285
100002130,64
100002131,249
100002132,89
100002133,275
100002134,155
100002135,278
100002136,19
100002137,267
100002138,133
100002139,122
100002140,262
100002141,94
100002142,208
100002143,76
100002144,134
100002145,223
100002146,231
100002147,237
100002148,53
100002149,13
100002150,28
100002151,170
100002152,203
100002153,93
100002154,279
100002155,228
100002156,25
100002157,287
100002158,118
100002159,66
100002160,82
100002161,112
100002162,262
100002163,30
100002164,219
100002165,204
100002166,195
100002167,204
100002168,98
100002169,173
100002170,73
100002171,292
100002172,103
100002173,145
100002174,223
100002175,210
100002176,15
100002177,130
100002178,201
100002179,171
100002180,225
100002181,243
100002182,74
100002183,187
100002184,93
100002185,192
100002186,201
100002187,145
100002188,296
100002189,254
100002190,200
100002191,68
100002192,44
100002193,237
100002194,41
100002195,184
100002196,254
100002197,122
100002198,143
100002199,82
100002200,154
100002201,35
100002202,282
100002203,75
100002204,204
100002205,233
100002206,212
100002207,162
100002208,119
100002209,185
100002210,220
100002211,113
100002212,202
100002213,295
100002214,95
100002215,284
100002216,59
100002217,120
100002218,54
100002219,261
100002220,152
100002221,35
100002222,143
100002223,74
100002224,184
100002225,227
100002226,54
100002227,165
100002228,237
100002229,33
100002230,182
100002231,78
100002232,108
100002233,255
100002234,273
100002235,175
100002236,133
100002237,154
100002238,50
100002239,227
100002240,74
100002241,212
100002242,43
100002243,173
100002244,46
100002245,210
100002246,146
100002247,168
100002248,41
100002249,79
100002250,241
100002251,139
100002252,181
100002253,84
100002254,29
100002255,21
100002256,154
100002257,19
100002258,243
100002259,122
100002260,79
100002261,194
100002262,141
100002263,34
100002264,255
100002265,14
100002266,213
100002267,25
100002268,225
100002269,73
100002270,33
100002271,14
100002272,209
100002273,64
100002274,201
100002275,88
100002276,74
100002277,151
100002278,109
100002279,245
100002280,55
100002281,264
100002282,151
100002283,257
100002284,115
100002285,137
100002286,174
100002287,179
100002288,20
100002289,224
100002290,266
100002291,43
100002292,62
100002293,257
100002294,29
100002295,58
100002296,219
100002297,150
100002298,138
100002299,57
100002300,104
100002301,250
100002302,26
100002303,40
100002304,237
100002305,277
100002306,76
100002307,285
100002308,298
100002309,201
100002310,155
100002311,158
100002312,176
100002313,151
100002314,137
100002315,78
100002316,191
100002317,281
100002318,50
100002319,90
100002320,243
100002321,35
100002322,166
100002323,238
100002324,17
100002325,184
100002326,31
100002327,78
100002328,86
100002329,167
100002330,229
100002331,218
100002332,26
100002333,248
100002334,260
100002335,131
100002336,189
100002337,148
100002338,114
100002339,246
100002340,84
